transaction_id,user_id,cohort_group,transaction_date,mrr_amount,event_type
TXN-1031-03,USER-1031,2025-03,2025-04-01,299.0,Standard Renewal
TXN-1031-04,USER-1031,2025-03,2025-05-01,299.0,Standard Renewal
TXN-1032-09,USER-1032,2025-09,2025-09-28,299.0,Standard Renewal
TXN-1032-10,USER-1032,2025-09,2025-10-28,299.0,Standard Renewal
TXN-1032-11,USER-1032,2025-09,2025-11-27,299.0,Standard Renewal
TXN-1033-09,USER-1033,2025-09,2025-09-28,599.0,Standard Renewal
TXN-1033-10,USER-1033,2025-09,2025-10-28,599.0,Standard Renewal
TXN-1033-11,USER-1033,2025-09,2025-11-27,778.7,Tier Upgrade
TXN-1034-11,USER-1034,2025-11,2025-11-27,999.0,Standard Renewal
TXN-1035-00,USER-1035,2025-01,2025-01-01,299.0,Standard Renewal
TXN-1035-01,USER-1035,2025-01,2025-01-31,299.0,Standard Renewal
TXN-1035-02,USER-1035,2025-01,2025-03-02,299.0,Standard Renewal
TXN-1035-03,USER-1035,2025-01,2025-04-01,299.0,Standard Renewal
TXN-1036-01,USER-1036,2025-01,2025-01-31,999.0,Standard Renewal
TXN-1036-02,USER-1036,2025-01,2025-03-02,999.0,Standard Renewal
TXN-1036-03,USER-1036,2025-01,2025-04-01,999.0,Standard Renewal
TXN-1036-04,USER-1036,2025-01,2025-05-01,999.0,Standard Renewal
TXN-1036-05,USER-1036,2025-01,2025-05-31,699.3,Contraction
TXN-1036-06,USER-1036,2025-01,2025-06-30,1298.7,Tier Upgrade
TXN-1036-07,USER-1036,2025-01,2025-07-30,999.0,Standard Renewal
TXN-1036-08,USER-1036,2025-01,2025-08-29,999.0,Standard Renewal
TXN-1036-09,USER-1036,2025-01,2025-09-28,999.0,Standard Renewal
TXN-1036-10,USER-1036,2025-01,2025-10-28,999.0,Standard Renewal
TXN-1036-11,USER-1036,2025-01,2025-11-27,999.0,Standard Renewal
TXN-1037-11,USER-1037,2025-11,2025-11-27,299.0,Standard Renewal
TXN-1038-00,USER-1038,2025-01,2025-01-01,299.0,Standard Renewal
TXN-1038-01,USER-1038,2025-01,2025-01-31,299.0,Standard Renewal
TXN-1039-08,USER-1039,2025-08,2025-08-29,1298.7,Tier Upgrade
TXN-1039-09,USER-1039,2025-08,2025-09-28,999.0,Standard Renewal
TXN-1039-10,USER-1039,2025-08,2025-10-28,999.0,Standard Renewal
TXN-1039-11,USER-1039,2025-08,2025-11-27,999.0,Standard Renewal
TXN-1040-10,USER-1040,2025-10,2025-10-28,299.0,Standard Renewal
TXN-1040-11,USER-1040,2025-10,2025-11-27,299.0,Standard Renewal
TXN-1041-06,USER-1041,2025-06,2025-06-30,599.0,Standard Renewal
TXN-1041-07,USER-1041,2025-06,2025-07-30,599.0,Standard Renewal
TXN-1041-08,USER-1041,2025-06,2025-08-29,599.0,Standard Renewal
TXN-1041-09,USER-1041,2025-06,2025-09-28,599.0,Standard Renewal
TXN-1042-07,USER-1042,2025-07,2025-07-30,599.0,Standard Renewal
TXN-1042-08,USER-1042,2025-07,2025-08-29,599.0,Standard Renewal
TXN-1042-09,USER-1042,2025-07,2025-09-28,599.0,Standard Renewal
TXN-1042-10,USER-1042,2025-07,2025-10-28,599.0,Standard Renewal
TXN-1042-11,USER-1042,2025-07,2025-11-27,599.0,Standard Renewal
TXN-1043-03,USER-1043,2025-04,2025-04-01,599.0,Standard Renewal
TXN-1043-04,USER-1043,2025-04,2025-05-01,599.0,Standard Renewal
TXN-1043-05,USER-1043,2025-04,2025-05-31,599.0,Standard Renewal
TXN-1043-06,USER-1043,2025-04,2025-06-30,599.0,Standard Renewal
TXN-1043-07,USER-1043,2025-04,2025-07-30,599.0,Standard Renewal
TXN-1043-08,USER-1043,2025-04,2025-08-29,599.0,Standard Renewal
TXN-1043-09,USER-1043,2025-04,2025-09-28,599.0,Standard Renewal
TXN-1044-08,USER-1044,2025-08,2025-08-29,999.0,Standard Renewal
TXN-1044-09,USER-1044,2025-08,2025-09-28,999.0,Standard Renewal
TXN-1044-10,USER-1044,2025-08,2025-10-28,999.0,Standard Renewal
TXN-1044-11,USER-1044,2025-08,2025-11-27,999.0,Standard Renewal
TXN-1045-04,USER-1045,2025-05,2025-05-01,999.0,Standard Renewal
TXN-1045-05,USER-1045,2025-05,2025-05-31,999.0,Standard Renewal
TXN-1045-06,USER-1045,2025-05,2025-06-30,999.0,Standard Renewal
TXN-1045-07,USER-1045,2025-05,2025-07-30,999.0,Standard Renewal
TXN-1045-08,USER-1045,2025-05,2025-08-29,999.0,Standard Renewal
TXN-1045-09,USER-1045,2025-05,2025-09-28,1298.7,Tier Upgrade
TXN-1046-05,USER-1046,2025-05,2025-05-31,299.0,Standard Renewal
TXN-1046-06,USER-1046,2025-05,2025-06-30,299.0,Standard Renewal
TXN-1046-07,USER-1046,2025-05,2025-07-30,388.7,Tier Upgrade
TXN-1046-08,USER-1046,2025-05,2025-08-29,299.0,Standard Renewal
TXN-1046-09,USER-1046,2025-05,2025-09-28,299.0,Standard Renewal
TXN-1046-10,USER-1046,2025-05,2025-10-28,299.0,Standard Renewal
TXN-1046-11,USER-1046,2025-05,2025-11-27,299.0,Standard Renewal
TXN-1047-05,USER-1047,2025-05,2025-05-31,599.0,Standard Renewal
TXN-1047-06,USER-1047,2025-05,2025-06-30,599.0,Standard Renewal
TXN-1047-07,USER-1047,2025-05,2025-07-30,599.0,Standard Renewal
TXN-1047-08,USER-1047,2025-05,2025-08-29,599.0,Standard Renewal
TXN-1047-09,USER-1047,2025-05,2025-09-28,778.7,Tier Upgrade
TXN-1047-10,USER-1047,2025-05,2025-10-28,599.0,Standard Renewal
TXN-1047-11,USER-1047,2025-05,2025-11-27,599.0,Standard Renewal
TXN-1048-00,USER-1048,2025-01,2025-01-01,299.0,Standard Renewal
TXN-1049-06,USER-1049,2025-06,2025-06-30,599.0,Standard Renewal
TXN-1049-07,USER-1049,2025-06,2025-07-30,599.0,Standard Renewal
TXN-1049-08,USER-1049,2025-06,2025-08-29,599.0,Standard Renewal
TXN-1049-09,USER-1049,2025-06,2025-09-28,599.0,Standard Renewal
TXN-1049-10,USER-1049,2025-06,2025-10-28,599.0,Standard Renewal
TXN-1049-11,USER-1049,2025-06,2025-11-27,599.0,Standard Renewal
TXN-1050-00,USER-1050,2025-01,2025-01-01,299.0,Standard Renewal
TXN-1051-09,USER-1051,2025-09,2025-09-28,599.0,Standard Renewal
TXN-1051-10,USER-1051,2025-09,2025-10-28,778.7,Tier Upgrade
TXN-1051-11,USER-1051,2025-09,2025-11-27,599.0,Standard Renewal
TXN-1052-00,USER-1052,2025-01,2025-01-01,999.0,Standard Renewal
TXN-1052-01,USER-1052,2025-01,2025-01-31,999.0,Standard Renewal
TXN-1052-02,USER-1052,2025-01,2025-03-02,699.3,Contraction
TXN-1052-03,USER-1052,2025-01,2025-04-01,999.0,Standard Renewal
TXN-1052-04,USER-1052,2025-01,2025-05-01,999.0,Standard Renewal
TXN-1052-05,USER-1052,2025-01,2025-05-31,999.0,Standard Renewal
TXN-1052-06,USER-1052,2025-01,2025-06-30,999.0,Standard Renewal
TXN-1052-07,USER-1052,2025-01,2025-07-30,999.0,Standard Renewal
TXN-1052-08,USER-1052,2025-01,2025-08-29,1298.7,Tier Upgrade
TXN-1052-09,USER-1052,2025-01,2025-09-28,1298.7,Tier Upgrade
TXN-1052-10,USER-1052,2025-01,2025-10-28,999.0,Standard Renewal
TXN-1052-11,USER-1052,2025-01,2025-11-27,1298.7,Tier Upgrade
TXN-1053-04,USER-1053,2025-05,2025-05-01,599.0,Standard Renewal
TXN-1053-05,USER-1053,2025-05,2025-05-31,599.0,Standard Renewal
TXN-1053-06,USER-1053,2025-05,2025-06-30,599.0,Standard Renewal
TXN-1053-07,USER-1053,2025-05,2025-07-30,599.0,Standard Renewal
TXN-1053-08,USER-1053,2025-05,2025-08-29,599.0,Standard Renewal
TXN-1053-09,USER-1053,2025-05,2025-09-28,599.0,Standard Renewal
TXN-1053-10,USER-1053,2025-05,2025-10-28,599.0,Standard Renewal
TXN-1053-11,USER-1053,2025-05,2025-11-27,599.0,Standard Renewal
TXN-1054-04,USER-1054,2025-05,2025-05-01,599.0,Standard Renewal
TXN-1054-05,USER-1054,2025-05,2025-05-31,599.0,Standard Renewal
TXN-1054-06,USER-1054,2025-05,2025-06-30,599.0,Standard Renewal
TXN-1054-07,USER-1054,2025-05,2025-07-30,599.0,Standard Renewal
TXN-1055-08,USER-1055,2025-08,2025-08-29,999.0,Standard Renewal
TXN-1055-09,USER-1055,2025-08,2025-09-28,999.0,Standard Renewal
TXN-1055-10,USER-1055,2025-08,2025-10-28,999.0,Standard Renewal
TXN-1055-11,USER-1055,2025-08,2025-11-27,999.0,Standard Renewal
TXN-1056-07,USER-1056,2025-07,2025-07-30,599.0,Standard Renewal
TXN-1056-08,USER-1056,2025-07,2025-08-29,599.0,Standard Renewal
TXN-1056-09,USER-1056,2025-07,2025-09-28,599.0,Standard Renewal
TXN-1056-10,USER-1056,2025-07,2025-10-28,599.0,Standard Renewal
TXN-1056-11,USER-1056,2025-07,2025-11-27,419.3,Contraction
TXN-1057-01,USER-1057,2025-01,2025-01-31,599.0,Standard Renewal
TXN-1057-02,USER-1057,2025-01,2025-03-02,599.0,Standard Renewal
TXN-1057-03,USER-1057,2025-01,2025-04-01,599.0,Standard Renewal
TXN-1057-04,USER-1057,2025-01,2025-05-01,599.0,Standard Renewal
TXN-1057-05,USER-1057,2025-01,2025-05-31,599.0,Standard Renewal
TXN-1057-06,USER-1057,2025-01,2025-06-30,599.0,Standard Renewal
TXN-1057-07,USER-1057,2025-01,2025-07-30,599.0,Standard Renewal
TXN-1057-08,USER-1057,2025-01,2025-08-29,599.0,Standard Renewal
TXN-1057-09,USER-1057,2025-01,2025-09-28,599.0,Standard Renewal
TXN-1057-10,USER-1057,2025-01,2025-10-28,599.0,Standard Renewal
TXN-1057-11,USER-1057,2025-01,2025-11-27,599.0,Standard Renewal
TXN-1058-01,USER-1058,2025-01,2025-01-31,999.0,Standard Renewal
TXN-1058-02,USER-1058,2025-01,2025-03-02,999.0,Standard Renewal
TXN-1058-03,USER-1058,2025-01,2025-04-01,999.0,Standard Renewal
TXN-1058-04,USER-1058,2025-01,2025-05-01,999.0,Standard Renewal
TXN-1058-05,USER-1058,2025-01,2025-05-31,999.0,Standard Renewal
TXN-1058-06,USER-1058,2025-01,2025-06-30,999.0,Standard Renewal
TXN-1058-07,USER-1058,2025-01,2025-07-30,999.0,Standard Renewal
TXN-1058-08,USER-1058,2025-01,2025-08-29,999.0,Standard Renewal
TXN-1058-09,USER-1058,2025-01,2025-09-28,1298.7,Tier Upgrade
TXN-1058-10,USER-1058,2025-01,2025-10-28,999.0,Standard Renewal
TXN-1058-11,USER-1058,2025-01,2025-11-27,999.0,Standard Renewal
TXN-1059-02,USER-1059,2025-03,2025-03-02,599.0,Standard Renewal
TXN-1059-03,USER-1059,2025-03,2025-04-01,599.0,Standard Renewal
TXN-1059-04,USER-1059,2025-03,2025-05-01,599.0,Standard Renewal
TXN-1059-05,USER-1059,2025-03,2025-05-31,599.0,Standard Renewal
TXN-1059-06,USER-1059,2025-03,2025-06-30,599.0,Standard Renewal
TXN-1059-07,USER-1059,2025-03,2025-07-30,599.0,Standard Renewal
TXN-1059-08,USER-1059,2025-03,2025-08-29,599.0,Standard Renewal
TXN-1059-09,USER-1059,2025-03,2025-09-28,599.0,Standard Renewal
TXN-1060-01,USER-1060,2025-01,2025-01-31,599.0,Standard Renewal
TXN-1060-02,USER-1060,2025-01,2025-03-02,599.0,Standard Renewal
TXN-1060-03,USER-1060,2025-01,2025-04-01,419.3,Contraction
TXN-1060-04,USER-1060,2025-01,2025-05-01,599.0,Standard Renewal
TXN-1060-05,USER-1060,2025-01,2025-05-31,599.0,Standard Renewal
TXN-1061-04,USER-1061,2025-05,2025-05-01,778.7,Tier Upgrade
TXN-1061-05,USER-1061,2025-05,2025-05-31,599.0,Standard Renewal
TXN-1061-06,USER-1061,2025-05,2025-06-30,778.7,Tier Upgrade
TXN-1061-07,USER-1061,2025-05,2025-07-30,599.0,Standard Renewal
TXN-1061-08,USER-1061,2025-05,2025-08-29,599.0,Standard Renewal
TXN-1061-09,USER-1061,2025-05,2025-09-28,599.0,Standard Renewal
TXN-1061-10,USER-1061,2025-05,2025-10-28,599.0,Standard Renewal
TXN-1062-09,USER-1062,2025-09,2025-09-28,599.0,Standard Renewal
TXN-1062-10,USER-1062,2025-09,2025-10-28,599.0,Standard Renewal
TXN-1062-11,USER-1062,2025-09,2025-11-27,599.0,Standard Renewal
TXN-1063-05,USER-1063,2025-05,2025-05-31,299.0,Standard Renewal
TXN-1063-06,USER-1063,2025-05,2025-06-30,299.0,Standard Renewal
TXN-1063-07,USER-1063,2025-05,2025-07-30,299.0,Standard Renewal
TXN-1063-08,USER-1063,2025-05,2025-08-29,299.0,Standard Renewal
TXN-1063-09,USER-1063,2025-05,2025-09-28,299.0,Standard Renewal
TXN-1063-10,USER-1063,2025-05,2025-10-28,299.0,Standard Renewal
TXN-1063-11,USER-1063,2025-05,2025-11-27,299.0,Standard Renewal
TXN-1064-03,USER-1064,2025-04,2025-04-01,599.0,Standard Renewal
TXN-1064-04,USER-1064,2025-04,2025-05-01,599.0,Standard Renewal
TXN-1064-05,USER-1064,2025-04,2025-05-31,419.3,Contraction
TXN-1064-06,USER-1064,2025-04,2025-06-30,599.0,Standard Renewal
TXN-1064-07,USER-1064,2025-04,2025-07-30,599.0,Standard Renewal
TXN-1064-08,USER-1064,2025-04,2025-08-29,599.0,Standard Renewal
TXN-1064-09,USER-1064,2025-04,2025-09-28,599.0,Standard Renewal
TXN-1064-10,USER-1064,2025-04,2025-10-28,599.0,Standard Renewal
TXN-1065-03,USER-1065,2025-04,2025-04-01,299.0,Standard Renewal
TXN-1065-04,USER-1065,2025-04,2025-05-01,299.0,Standard Renewal
TXN-1065-05,USER-1065,2025-04,2025-05-31,299.0,Standard Renewal
TXN-1065-06,USER-1065,2025-04,2025-06-30,299.0,Standard Renewal
TXN-1065-07,USER-1065,2025-04,2025-07-30,299.0,Standard Renewal
TXN-1065-08,USER-1065,2025-04,2025-08-29,299.0,Standard Renewal
TXN-1065-09,USER-1065,2025-04,2025-09-28,299.0,Standard Renewal
TXN-1065-10,USER-1065,2025-04,2025-10-28,209.3,Contraction
TXN-1065-11,USER-1065,2025-04,2025-11-27,388.7,Tier Upgrade
TXN-1066-03,USER-1066,2025-04,2025-04-01,299.0,Standard Renewal
TXN-1066-04,USER-1066,2025-04,2025-05-01,299.0,Standard Renewal
TXN-1066-05,USER-1066,2025-04,2025-05-31,299.0,Standard Renewal
TXN-1066-06,USER-1066,2025-04,2025-06-30,388.7,Tier Upgrade
TXN-1066-07,USER-1066,2025-04,2025-07-30,299.0,Standard Renewal
TXN-1066-08,USER-1066,2025-04,2025-08-29,299.0,Standard Renewal
TXN-1067-08,USER-1067,2025-08,2025-08-29,299.0,Standard Renewal
TXN-1067-09,USER-1067,2025-08,2025-09-28,299.0,Standard Renewal
TXN-1067-10,USER-1067,2025-08,2025-10-28,299.0,Standard Renewal
TXN-1068-08,USER-1068,2025-08,2025-08-29,999.0,Standard Renewal
TXN-1068-09,USER-1068,2025-08,2025-09-28,999.0,Standard Renewal
TXN-1068-10,USER-1068,2025-08,2025-10-28,999.0,Standard Renewal
TXN-1068-11,USER-1068,2025-08,2025-11-27,999.0,Standard Renewal
TXN-1069-02,USER-1069,2025-03,2025-03-02,599.0,Standard Renewal
TXN-1069-03,USER-1069,2025-03,2025-04-01,599.0,Standard Renewal
TXN-1069-04,USER-1069,2025-03,2025-05-01,599.0,Standard Renewal
TXN-1070-04,USER-1070,2025-05,2025-05-01,299.0,Standard Renewal
TXN-1070-05,USER-1070,2025-05,2025-05-31,299.0,Standard Renewal
TXN-1070-06,USER-1070,2025-05,2025-06-30,299.0,Standard Renewal
TXN-1070-07,USER-1070,2025-05,2025-07-30,299.0,Standard Renewal
TXN-1070-08,USER-1070,2025-05,2025-08-29,299.0,Standard Renewal
TXN-1070-09,USER-1070,2025-05,2025-09-28,299.0,Standard Renewal
TXN-1070-10,USER-1070,2025-05,2025-10-28,209.3,Contraction
TXN-1070-11,USER-1070,2025-05,2025-11-27,299.0,Standard Renewal
TXN-1071-01,USER-1071,2025-01,2025-01-31,299.0,Standard Renewal
TXN-1071-02,USER-1071,2025-01,2025-03-02,299.0,Standard Renewal
TXN-1071-03,USER-1071,2025-01,2025-04-01,299.0,Standard Renewal
TXN-1071-04,USER-1071,2025-01,2025-05-01,299.0,Standard Renewal
TXN-1071-05,USER-1071,2025-01,2025-05-31,299.0,Standard Renewal
TXN-1071-06,USER-1071,2025-01,2025-06-30,299.0,Standard Renewal
TXN-1071-07,USER-1071,2025-01,2025-07-30,209.3,Contraction
TXN-1073-06,USER-1073,2025-06,2025-06-30,699.3,Contraction
TXN-1073-07,USER-1073,2025-06,2025-07-30,999.0,Standard Renewal
TXN-1073-08,USER-1073,2025-06,2025-08-29,999.0,Standard Renewal
TXN-1073-09,USER-1073,2025-06,2025-09-28,999.0,Standard Renewal
TXN-1073-10,USER-1073,2025-06,2025-10-28,999.0,Standard Renewal
TXN-1073-11,USER-1073,2025-06,2025-11-27,999.0,Standard Renewal
TXN-1074-03,USER-1074,2025-04,2025-04-01,299.0,Standard Renewal
TXN-1074-04,USER-1074,2025-04,2025-05-01,299.0,Standard Renewal
TXN-1074-05,USER-1074,2025-04,2025-05-31,299.0,Standard Renewal
TXN-1074-06,USER-1074,2025-04,2025-06-30,299.0,Standard Renewal
TXN-1074-07,USER-1074,2025-04,2025-07-30,299.0,Standard Renewal
TXN-1074-08,USER-1074,2025-04,2025-08-29,299.0,Standard Renewal
TXN-1074-09,USER-1074,2025-04,2025-09-28,299.0,Standard Renewal
TXN-1074-10,USER-1074,2025-04,2025-10-28,209.3,Contraction
TXN-1074-11,USER-1074,2025-04,2025-11-27,299.0,Standard Renewal
TXN-1075-08,USER-1075,2025-08,2025-08-29,778.7,Tier Upgrade
TXN-1075-09,USER-1075,2025-08,2025-09-28,599.0,Standard Renewal
TXN-1075-10,USER-1075,2025-08,2025-10-28,778.7,Tier Upgrade
TXN-1075-11,USER-1075,2025-08,2025-11-27,599.0,Standard Renewal
TXN-1076-01,USER-1076,2025-01,2025-01-31,999.0,Standard Renewal
